Date,Time,Open,Max,Min,Closure,Volume
2015.07.06,00:00,1.0996,1.1095,1.0979,1.1055,16009
2015.07.07,00:00,1.1054,1.1056,1.0915,1.0997,16795
2015.07.08,00:00,1.0996,1.1092,1.0973,1.1073,16207
2015.07.09,00:00,1.1074,1.1124,1.0991,1.1045,14444
2015.07.10,00:00,1.1046,1.1215,1.1044,1.1154,16448
2015.07.13,00:00,1.1134,1.1196,1.0995,1.1005,15853
2015.07.14,00:00,1.1004,1.1083,1.0965,1.1007,13042
2015.07.15,00:00,1.1006,1.1035,1.0929,1.0945,12954
2015.07.16,00:00,1.0944,1.0962,1.0855,1.0875,12732
2015.07.17,00:00,1.0876,1.0906,1.0828,1.0828,9577
2015.07.20,00:00,1.0832,1.0869,1.0808,1.0821,8706
2015.07.21,00:00,1.0822,1.0968,1.0811,1.0937,11394
2015.07.22,00:00,1.0936,1.0966,1.0868,1.0928,10942
2015.07.23,00:00,1.0927,1.1017,1.0921,1.0983,12230
2015.07.24,00:00,1.0982,1.0995,1.0924,1.0983,9609
2015.07.27,00:00,1.0977,1.1128,1.0968,1.1091,12564
2015.07.28,00:00,1.1092,1.1099,1.1021,1.1061,9640
2015.07.29,00:00,1.1060,1.1083,1.0966,1.0978,11011
2015.07.30,00:00,1.0979,1.0989,1.0892,1.0932,10883
2015.07.31,00:00,1.0931,1.1113,1.0920,1.0984,14800
2015.08.03,00:00,1.0980,1.0995,1.0940,1.0952,9575
2015.08.04,00:00,1.0953,1.0987,1.0878,1.0889,10075
2015.08.05,00:00,1.0888,1.0935,1.0847,1.0899,11128
2015.08.06,00:00,1.0898,1.0943,1.0873,1.0924,9738
2015.08.07,00:00,1.0923,1.0977,1.0855,1.0963,11713
2015.08.10,00:00,1.0960,1.1041,1.0925,1.1016,9502
2015.08.11,00:00,1.1015,1.1087,1.0960,1.1041,11990
2015.08.12,00:00,1.1042,1.1213,1.1024,1.1156,14741
2015.08.13,00:00,1.1157,1.1188,1.1079,1.1153,10502
2015.08.14,00:00,1.1152,1.1188,1.1097,1.1110,9810
2015.08.17,00:00,1.1113,1.1124,1.1058,1.1078,9608
2015.08.18,00:00,1.1077,1.1093,1.1016,1.1026,7542
2015.08.19,00:00,1.1025,1.1133,1.1017,1.1121,11495
2015.08.20,00:00,1.1120,1.1244,1.1106,1.1233,11863
2015.08.21,00:00,1.1234,1.1388,1.1228,1.1386,14857
2015.08.24,00:00,1.1375,1.1713,1.1369,1.1577,32069
2015.08.25,00:00,1.1578,1.1604,1.1395,1.1518,25788
2015.08.26,00:00,1.1517,1.1561,1.1291,1.1313,24893
2015.08.27,00:00,1.1314,1.1364,1.1202,1.1246,16507
2015.08.28,00:00,1.1245,1.1309,1.1155,1.1186,12886
2015.08.31,00:00,1.1178,1.1262,1.1174,1.1209,11428
2015.09.01,00:00,1.1208,1.1331,1.1207,1.1310,18041
2015.09.02,00:00,1.1309,1.1310,1.1216,1.1224,14048
2015.09.03,00:00,1.1223,1.1242,1.1086,1.1118,13651
2015.09.04,00:00,1.1119,1.1188,1.1089,1.1160,13562
2015.09.07,00:00,1.1155,1.1177,1.1121,1.1167,8624
2015.09.08,00:00,1.1168,1.1229,1.1152,1.1202,11410
2015.09.09,00:00,1.1201,1.1223,1.1131,1.1215,12223
2015.09.10,00:00,1.1214,1.1294,1.1171,1.1275,13399
2015.09.11,00:00,1.1274,1.1349,1.1253,1.1341,11988
2015.09.14,00:00,1.1339,1.1372,1.1282,1.1316,12315
2015.09.15,00:00,1.1317,1.1328,1.1258,1.1265,12475
2015.09.16,00:00,1.1264,1.1320,1.1213,1.1289,12241
2015.09.17,00:00,1.1288,1.1441,1.1284,1.1416,15783
2015.09.18,00:00,1.1416,1.1459,1.1269,1.1297,15994
